tracadora,pa_proc_id,nome_proc,registros,qtd_apr,valor_apr
PKU,0604060025,COMPLEMENTO ALIMENTAR P/ PACIENTE FENILCETONURICO MAIOR DE 1 ANO - FORMULA DE AMINOACIDOS ISENTA DE,83289,99310591,0
PKU,0301120013,ACOMPANHAMENTO DE PACIENTE COM FENILCETONURIA,27974,28011,770302.5
PKU,0604630069,SAPROPTERINA 100 MG (POR COMPRIMIDO),2902,437830,47557094.60000006
PKU,0604060017,COMPLEMENTO ALIMENTAR P/ PACIENTE FENILCETONURICO MENOR DE 1 ANO - FORMULA DE AMINOACIDOS ISENTA DE,2823,1450932,0
PKU,0301010218,AVALIACAO CLINICA DE DIAGNOSTICO DE DOENCAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO,997,879,527400
PKU,0301010315,TELECONSULTA POR PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),866,865,5449.500000000087
PKU,0301010072,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,644,642,6420
PKU,0301010048,CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),540,539,3395.7000000000285
Pompe,0604240104,ALFA-ALGLICOSIDASE 50 MG PO LIOFILIZADO PARA SOLUCAO INJETAVEL,2016,72204,0
Pompe,0301010218,AVALIACAO CLINICA DE DIAGNOSTICO DE DOENCAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO,1022,577,346200
Pompe,0301010072,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,384,382,3820
Pompe,0301010048,CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),255,249,1568.699999999993
Pompe,0301050031,ASSISTENCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL NA ATENCAO ESPECIALIZADA,181,181,3310.489999999995
Pompe,0301100195,ADMINISTRACAO DE MEDICAMENTOS POR VIA ENDOVENOSA,85,85,0
Pompe,0301060118,ACOLHIMENTO COM CLASSIFICACAO DE RISCO,59,53,0
Pompe,0205020046,ULTRASSONOGRAFIA DE ABDOMEN TOTAL,58,56,2125.200000000001
Tay-Sachs,0301010218,AVALIACAO CLINICA DE DIAGNOSTICO DE DOENCAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO,93,47,28200
Tay-Sachs,0301010072,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,75,75,750
Tay-Sachs,0301060029,ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA,58,58,723.260000000001
Tay-Sachs,0301010307,TELECONSULTA MEDICA NA ATENCAO ESPECIALIZADA,25,25,250
Tay-Sachs,0204060168,RADIOGRAFIA DE PERNA,20,20,178.79999999999998
Tay-Sachs,0301070067,ATENDIMENTO / ACOMPANHAMENTO EM REABILITACAO NAS MULTIPLAS DEFICIENCIAS,20,20,154.2
Tay-Sachs,0301010048,CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),16,16,100.79999999999997
Tay-Sachs,0204060150,RADIOGRAFIA DE PE / DEDOS DO PE,14,15,101.7
Tirosinemia,0301010218,AVALIACAO CLINICA DE DIAGNOSTICO DE DOENCAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO,345,206,123600
Tirosinemia,0301010072,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,108,108,1080
Tirosinemia,0202100154,DOSAGEM QUANTITATIVA DE AMINOACIDOS,29,29,0
Tirosinemia,0301010048,CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),24,24,151.2
Tirosinemia,0301060061,ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA,24,24,264
Tirosinemia,0803010010,AJUDA DE CUSTO P/ ALIMENTACAO/PERNOITE DE PACIENTE,24,417,10704.220000000001
Tirosinemia,0301070067,ATENDIMENTO / ACOMPANHAMENTO EM REABILITACAO NAS MULTIPLAS DEFICIENCIAS,13,13,100.22999999999998
Tirosinemia,0205020127,ULTRASSONOGRAFIA DE TIREOIDE,12,12,290.3999999999999
Wilson,0604560010,PENICILAMINA 250 MG (POR CAPSULA),23252,2068843,20960202.82000015
Wilson,0604630077,TRIENTINA 250 MG (POR CAPSULA),6804,641748,0
Wilson,0301010218,AVALIACAO CLINICA DE DIAGNOSTICO DE DOENCAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO,398,156,93600
Wilson,0306020041,SANGRIA TERAPEUTICA,378,277,1299.130000000009
Wilson,0301010072,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,241,239,2390
Wilson,0301040044,TERAPIA INDIVIDUAL,98,98,275.38000000000017
Wilson,0205020046,ULTRASSONOGRAFIA DE ABDOMEN TOTAL,67,67,2542.649999999999
Wilson,0301070067,ATENDIMENTO / ACOMPANHAMENTO EM REABILITACAO NAS MULTIPLAS DEFICIENCIAS,60,60,462.59999999999957
